Property ID,Property Name,Address 1,Primary Property Type - Self Selected,Year Built,ENERGY STAR Score,Site EUI (kBtu/ft²),Total (Location-Based) GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Latitude,Longitude,Fine_2024-2029,Fine_2030-2034,Fine_2035-2039
9793770,1870 Pelham Parkway South,1870 Pelham Parkway South,Multifamily Housing,1960,61,58.5,216.1,52941.0,40.855488,-73.830726,0.0,10432.035485256,19717.594439172
13511507,215 East 99th Street,215 East 99th Street,Multifamily Housing,1898,64,68.2,457.3,107234.0,40.786963,-73.947537,0.0,26378.28662859201,45186.53786797602
14009907,23-25 31 Street,23-25 31 Street,Medical Office,1911,98,51.1,320.9,75191.0,40.773768,-73.913573,0.0,27305.26276375999,52075.365018804005
14377690,1680 Ocean Ave,1680 Ocean Ave,Multifamily Housing,1935,61,86.3,335.6,68400.0,40.62104,-73.955909,0.0,28592.8774416,40589.8596
14965065,33-70 Prince Street,33-70 Prince Street,Office,1984,83,54.2,308.6,89902.0,40.764243,-73.833365,0.0,17872.131021400004,42893.764982232
15176247,88-24 Merrick Blvd,88-24 Merrick Blvd,Multifamily Housing,1937,16,126,596.9,82576.0,40.708541,-73.795755,10589.226175424,85906.835411904,100390.20966208
15176327,90-11 149th Street,90-11 149 str,Multifamily Housing,1933,71,79.9,639.7,136000.0,40.70322,-73.806129,0.0,49461.24812800001,73314.89686400001
15176328,148-25 89th Ave,148-25 89 Ave,Multifamily Housing,1942,37,102.8,762.8,127200.0,40.704243,-73.807266,0.0,90344.769264,112654.9466112
15176329,166-05 89th Ave,166-05 89 Ave,Multifamily Housing,1940,32,107.4,350.6,56200.0,40.708145,-73.795204,0.0,43555.0445104,53412.2140616
15288692,KM 403 Hewes Street,403 Hewes Street,Multifamily Housing,1917,40,98.1,148.7,25800.0,40.708731,-73.951162,0.0,16711.593134400002,21236.770615200003
15288693,KM 409 Hewes Street,409 Hewes Street,Multifamily Housing,1915,51,108.2,175.7,27774.0,40.708901,-73.951036,0.0,22177.11016944,27048.516345864
15304524,KM 1882 Grand Concourse,1882 Grand Concourse,Multifamily Housing,1914,18,112,275.5,41250.0,40.848866,-73.906489,0.0,36836.89614,44071.918275
15305200,KM 990 Aldus Street,990 Aldus Street,Multifamily Housing,1923,36,102.5,344.2,45000.0,40.823193,-73.889279,10840.60134,51885.122939999994,59777.87436
15306290,KM 996 Aldus Street,996 Aldus Street,Multifamily Housing,1923,46,95.4,328.2,46068.0,40.823204,-73.889081,4620.586678223999,46639.231590863994,54719.304311232
15310834,KM 1025 Aldus Street,1025 Aldus Street,Multifamily Housing,1924,44,107.3,367.4,45786.0,40.82328,-73.887899,15636.327227976,57397.759805256,65428.371283392
15313508,KM 1032 Aldus Street,1032 Aldus Street,Multifamily Housing,1927,27,124.3,319,34380.0,40.823282,-73.887462,23298.576515999994,54656.5910184,60686.65310328
15315394,KM 1010 Bryant Avenue,1010 Bryant Avenue,Multifamily Housing,1922,53,105.1,360.5,46030.0,40.823607,-73.88857,13345.732537960002,55329.71763236001,63403.12536264
15316565,KM 1016 Bryant Avenue,1016 Bryant Avenue,Multifamily Housing,1922,47,110.2,300.7,36445.0,40.823766,-73.888581,14658.596368139995,47900.098361740005,54292.35003956
15318022,KM 57-67 West 175 Street,57-67 West 175 Street,Multifamily Housing,1927,87,60.9,229.2,62000.0,40.848115,-73.915201,0.0,5817.826543999996,16692.284056
15319786,KM 1664 Macombs Road,1664 Macombs Road,Multifamily Housing,1927,92,61.4,292.7,81000.0,40.84771,-73.916202,0.0,5794.733519999996,20001.686076
15321027,KM 1674 Macombs Road,1674 MAcombs Road,Multifamily Housing,1926,61,81.2,344.9,72000.0,40.84794,-73.916188,0.0,27856.438848,40484.841120000005
15322073,KM 1325 Grand Concourse,1325 Grand Concourse,Multifamily Housing,1924,48,102.3,340,55000.0,40.837161,-73.915124,0.0,41790.523720000005,51437.2199
15323042,KM 115 Marcy Place,115 Marcy Place,Multifamily Housing,1924,25,132.6,256.1,33225.0,40.838046,-73.916139,8530.773519299997,38835.31196729999,44662.7934324
15324703,KM 133 East Clarke Place,133 Clarke Place East,Multifamily Housing,1927,29,119.8,308.2,44643.0,40.837418,-73.916512,1838.414097192001,42557.315825832,50387.4514179
15329330,KM 1215 Union Ave,1215 Union Ave,Multifamily Housing,1912,23,118.1,180.7,26572.0,40.829167,-73.899199,358.8492267360023,24595.183181296,29255.765197568
15330689,KM 135 Hamilton Place,135 Hamilton Place,Multifamily Housing,1920,81,67.6,165.7,41082.0,40.823993,-73.949065,0.0,7561.178087832,14766.733950864003
